dt,main_temp,main_feels_like,main_temp_min,main_temp_max,main_humidity,wind_speed,weather_0_description,sys_sunrise,sys_sunset
1739073303,24.88,25.88,24.88,24.88,94,2.57,light rain,1739014364,1739058097
1739073602,24.88,25.88,24.88,24.88,94,2.57,light rain,1739014364,1739058097
1739073602,24.88,25.88,24.88,24.88,94,2.57,light rain,1739014364,1739058097
1739073602,24.88,25.88,24.88,24.88,94,2.57,light rain,1739014364,1739058097
1739074192,24.88,25.88,24.88,24.88,94,2.06,light rain,1739014364,1739058097
1739075076,24.88,25.88,24.88,24.88,94,2.06,light rain,1739014364,1739058097
1739075076,24.88,25.88,24.88,24.88,94,2.06,light rain,1739014364,1739058097
1739075076,24.88,25.88,24.88,24.88,94,2.06,light rain,1739014364,1739058097
1739075076,24.88,25.88,24.88,24.88,94,2.06,light rain,1739014364,1739058097
