dt,coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
2025-02-08 17:45:03,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,27.88,31.51,27.88,27.88,1009,78,1009,1005,10000,4.63,270,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 17:45:03,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,27.88,31.51,27.88,27.88,1009,78,1009,1005,10000,4.63,270,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 17:45:03,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,27.88,31.51,27.88,27.88,1009,78,1009,1005,10000,4.63,270,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 17:49:46,-80.7268,-0.9482,803,Clouds,broken clouds,04d,stations,28.04,31.89,28.04,28.04,1009,78,1009,1008,10000,4.63,270,N/A,75,1,8552,EC,2025-02-08 06:32:42,2025-02-08 18:41:35,-18000,3650767,Tarqui,200
2025-02-08 17:49:46,-80.7268,-0.9482,803,Clouds,broken clouds,04d,stations,28.04,31.89,28.04,28.04,1009,78,1009,1008,10000,4.63,270,N/A,75,1,8552,EC,2025-02-08 06:32:42,2025-02-08 18:41:35,-18000,3650767,Tarqui,200
2025-02-08 18:00:04,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,27.88,31.51,27.88,27.88,1009,78,1009,1005,10000,4.63,270,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:00:04,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,27.88,31.51,27.88,27.88,1009,78,1009,1005,10000,4.63,270,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:10:03,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,26.88,29.3,26.88,26.88,1009,78,1009,1005,10000,3.6,260,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:13:43,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,26.88,29.3,26.88,26.88,1009,78,1009,1005,10000,3.6,260,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:13:43,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,26.88,29.3,26.88,26.88,1009,78,1009,1005,10000,3.6,260,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:25:04,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,26.88,29.3,26.88,26.88,1009,78,1009,1005,10000,3.6,260,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:25:32,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,26.88,29.3,26.88,26.88,1009,78,1009,1005,10000,3.6,260,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:25:32,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,26.88,29.3,26.88,26.88,1009,78,1009,1005,10000,3.6,260,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:37:36,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,26.88,29.3,26.88,26.88,1010,78,1010,1006,10000,3.6,260,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:45:03,-80.7333,-0.95,500,Rain,light rain,10n,stations,26.88,29.3,26.88,26.88,1010,78,1010,1006,10000,3.6,260,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:37:36,-80.7333,-0.95,803,Clouds,broken clouds,04d,stations,26.88,29.3,26.88,26.88,1010,78,1010,1006,10000,3.6,260,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:51:24,-80.7333,-0.95,500,Rain,light rain,10n,stations,26.88,29.3,26.88,26.88,1010,78,1010,1006,10000,3.6,260,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 18:51:24,-80.7333,-0.95,500,Rain,light rain,10n,stations,26.88,29.3,26.88,26.88,1010,78,1010,1006,10000,3.6,260,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 19:05:03,-80.7333,-0.95,500,Rain,light rain,10n,stations,26.88,29.3,26.88,26.88,1010,78,1010,1006,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 19:05:03,-80.7333,-0.95,500,Rain,light rain,10n,stations,26.88,29.3,26.88,26.88,1010,78,1010,1006,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 19:15:03,-80.7333,-0.95,500,Rain,light rain,10n,stations,26.88,29.3,26.88,26.88,1010,78,1010,1006,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
2025-02-08 19:15:03,-80.7333,-0.95,500,Rain,light rain,10n,stations,26.88,29.3,26.88,26.88,1010,78,1010,1006,10000,3.09,250,N/A,75,1,8552,EC,2025-02-08 06:32:44,2025-02-08 18:41:37,-18000,3650767,Tarqui,200
